RefID,Title,Author,MedlineID,Journal,DateEntered,InternalAnno,AnnoCode,CometSubtypes,IncludeNS3Pos36_175,IncludeNS5APos26_93,Includes S282,Includes S282 + 4 other RAS positions,Includes S282 + 5 other RAS positions,Includes S282 + all positions
1,MinVar-based analysis of resistance associated substitutions in relapse patients of chronic hepatitis C treated with direct acting antivirals,"Nayak,B., Singh,N., Mohanta,M., Ashraf,A., Kumar,S., Pradhan,D., Saraya,A. and Shalimar,S.",,Unpublished,2026-02-15,,,1a; 3a,22,22,22,22,22,22
2,Comprehensive cloning of patient-derived 9022-bp amplicons of hepatitis C virus,"Lu,Y., Xu,Y., Di Bisceglie,A.M. and Fan,X.",23602804,"J. Virol. Methods 191 (2), 105-112 (2013)",2026-02-15,,,1a,9,9,9,9,9,9
3,Transcripts from a single full-length cDNA clone of hepatitis C virus are infectious when directly transfected into the liver of a chimpanzee,"Yanagi,M., Purcell,R.H., Emerson,S.U. and Bukh,J.",9238047,"Proc. Natl. Acad. Sci. U.S.A. 94 (16), 8738-8743 (",2026-02-15,,,1a,3,3,3,3,3,3
4,Transmission of hepatitis C by intrahepatic inoculation with transcribed RNA,"Kolykhalov,A.A., Agapov,E.V., Blight,K.J., Mihalik,K., Feinstone,S.M. and Rice,C.M.",9228008,"Science 277 (5325), 570-574 (1997)",2026-02-15,,,1a,1,1,1,1,1,1
5,Development of HCV quasispecies diversity from a clonal infection in chimeric SCID/A16-uPA mice lacking an adaptive immune response,"Joyce,M.A., Finnie-Carvalho,L.E., Minnaker,R., Mar-Fish,P., Zhu,L.-F., Kneteman,N., Gale,M. and Tyrrell,D.L.",,Unpublished,2026-02-15,,,1a,40,40,40,40,40,40
6,Real-World Re-Treatment Outcomes of Direct-Acting Antiviral Therapy Failure in Patients with Chronic Hepatitis C,"Elhence,A., Singh,A., Anand,A., Kumar,R., Ashraf,A., Kumar,S., Pradhan,D., Pathak,P., Vaishnav,M., Rajput,M.S., Banyal,V., Nayak,B. and Shalimar.",33783006,J Med Virol (2021) In press,2026-02-15,,,1a; 3a,0,17,17,17,17,17
7,Hepatitis C Virus Variants with Decreased Sensitivity to Direct-Acting Antivirals (DAAs) Were Rarely Observed in DAA-Naive Patients prior to Treatment,"Bartels,D.J., Sullivan,J.C., Zhang,E.Z., Tigges,A.M., Dorrian,J.L., De Meyer,S., Takemoto,D., Dondero,E., Kwong,A.D., Picchio,G. and Kieffer,T.L.",23152524,"J. Virol. 87 (3), 1544-1553 (2013)",2026-02-15,,,1a; 1b; 1d; 1e; 1g,3446,777,777,777,777,777
8,Hepatitis C Virus,"Desai,S.M., Devare,S. and Yamaguchi,J.",,Unpublished,2026-02-15,,,1a,1,1,1,1,1,1
9,Naturally occurring dominant resistance mutations to hepatitis C virus protease and polymerase inhibitors in treatment-naive patients,"Kuntzen,T., Timm,J., Berical,A., Lennon,N., Berlin,A.M., Young,S.K., Lee,B., Heckerman,D., Carlson,J., Reyor,L.L., Kleyman,M., McMahon,C.M., Birch,C., Schulze Zur Wiesch,J., Ledlie,T., Koehrsen,M., Kodira,C., Roberts,A.D., Lauer,G.M., Rosen,H.R., Bihl,F., Cerny,A., Spengler,U., Liu,Z., Kim,A.Y., Xing,Y., Schneidewind,A., Madey,M.A., Fleckenstein,J.F., Park,V.M., Galagan,J.E., Nusbaum,C., Walker,B.D., Lake-Bakaar,G.V., Daar,E.S., Jacobson,I.M., Gomperts,E.D., Edlin,B.R., Donfield,S.M., Chung,R.T., Talal,A.H., Marion,T., Birren,B.W., Henn,M.R. and Allen,T.M.",19026009,"Hepatology 48 (6), 1769-1778 (2008)",2026-02-15,,,1a; 1b,443,443,443,443,443,443
10,Human leukocyte antigen-associated sequence polymorphisms in hepatitis C virus reveal reproducible immune responses and constraints on viral evolution,"Timm,J., Li,B., Daniels,M.G., Bhattacharya,T., Reyor,L.L., Allgaier,R., Kuntzen,T., Fischer,W., Nolan,B.E., Duncan,J., Schulze zur Wiesch,J., Kim,A.Y., Frahm,N., Brander,C., Chung,R.T., Lauer,G.M., Korber,B.T. and Allen,T.M.",17559151,"Hepatology 46 (2), 339-349 (2007)",2026-02-15,,,1a,71,71,71,71,71,71
11,HCV genome-wide genetic analyses in context of disease progression and hepatocellular carcinoma,"Donlin,M.J., Lomonosova,E., Kiss,A., Cheng,X., Cao,F., Curto,T.M., Di Bisceglie,A. and Tavis,J.E.",25079603,"PLoS ONE 9 (7), E103748 (2014)",2026-02-15,,,1a; 1b,164,164,164,164,164,164
12,Direct Submission,"Wang,S., Zahid,M.N. and Shaw,G.M.",,"Submitted (19-OCT-2021) Dept.Medicine, Perelman Sc",2026-02-15,,,1a; 1b; 2b; 3a,285,588,588,588,588,588
13,Genomic structure of the human prototype strain H of hepatitis C virus: comparison with American and Japanese isolates,"Inchauspe,G., Zebedee,S., Lee,D.H., Sugitani,M., Nasoff,M. and Prince,A.M.",1658800,"Proc. Natl. Acad. Sci. U.S.A. 88 (22), 10292-10296",2026-02-15,,,1a,1,1,1,1,1,1
14,Hepatitis C virus transmission between eight high-income countries among men who have sex with men: a whole-genome analysis,"Koopsen,J., Matthews,G., Rockstroh,J., Applegate,T.L., Bhagani,S., Rauch,A., Grebely,J., Sacks-Davis,R., Ingiliz,P., Boesecke,C., Rebers,S., Feld,J., Bruneau,J., Martinello,M., Hellard,M., Dore,G.J., Schinkel,J., van der Valk,M., Adams,T., Amjad,S., Appelhans,C., Applegate,T., Becker,B., Bhagani,S., Bouchard,R., Braun,D., Bruelisauer,C., Bruneau,J., Calcagnile,S., Carroll,A., Cerocchi,O., Chronister,K., Cordes,C., Dore,G., Evans,F., Fedele,S., Feld,J., Ferguson,C., Fraser,C., Ganase,B., Gane,E., George,V., Gerlach,C., Gilleece,Y., Gilliver,R., Grebely,J., Grube,C., Gustafson,J., Haas,A., Hagenauer,M., Harris,M., Helder,J., Hellard,M., Hirter,D., Hull,M., Ingiliz,P., Katz,S., Kim,A., Kotsoros,B., Lacalamita,M., Lindergard,G., Lutz,T., Macabodbod,L., Manz,M., Marks,P., Martinello,M., Matthews,G., Messina,P., Mohrmann,K., Monnich,C., Moon,J., Moriggia,A., Morris,G., Morrish,T., Nelson,M., Oliver,V., Patterson,J., Peters,M., Petoumenos,K., Porretta,H., Rauch,A., Raymode,P., Read,P., Reece,S., Rockstroh,J., Saidi,A., Sasadeusz,J., Scherler,P., Schroeder,R., Selfridge,M., Sevehon,A., Shaw,D., Sulkowski,M., Tamaddoni,M., Thunder,O., Thurnheer,M.C., Tu,E., Ustianowski,A., van der Valk,M. and Witele,E.",,Lancet Microbe (2023) In press,2026-02-15,,,1a; 4d,138,138,138,138,138,138
