name,virus,subtype,bootstrap support
MW205263,HCV,2c,100.0
MW205243,HCV,4n,100.0
MW205245,HCV,4r,100.0
MW205244,HCV,1c,100.0
MW205246,HCV,4n,100.0
MW205247,HCV,1c,100.0
MW205294,HCV,4o,100.0
MW205299,HCV,4f,100.0
MW205319,HCV,1g,100.0
MW205318,HCV,1g,100.0
MW205295,HCV,4k,100.0
MW205322,HCV,1g,88.0
MW205358,HCV,2j,100.0
MW205347,HCV,2j,100.0
MW205313,HCV,2j,100.0
MW205359,HCV,2j,99.0
MW205360,HCV,4k,97.0
MW205351,HCV,2a,60.0
MW205314,HCV,2j,99.0
MW205290,HCV,4v,90.0
MW205354,HCV,2j,87.0
MW205361,HCV,2j,69.0
MW205481,HCV,2b,77.0
MW205483,HCV,2j,67.0
MW234399,HCV,3a,100.0
MW205475,HCV,2a,58.0
MW205503,HCV,3b,100.0
MW205495,HCV,2i,100.0
MW234403,HCV,3b,100.0
MW234406,HCV,3a,100.0
MW205504,HCV,3b,100.0
PP583888,HCV,4f,100.0
PP583889,HCV,1e,100.0
PP583890,HCV,4m,49.0
PP583891,HCV,2j,85.0
PP583887,HCV,1b,73.0
PP583920,HCV,4v,47.0
PP583922,HCV,1e,100.0
PP583940,HCV,4f,100.0
PP583943,HCV,4f,100.0
PP583966,HCV,1e,100.0
PP583967,HCV,4f,100.0
PP583948,HCV,2j,61.0
PP583987,HCV,1l,100.0
PP584010,HCV,1l,100.0
PP584007,HCV,1l,100.0
PP584011,HCV,4f,100.0
PP584013,HCV,4f,100.0
PP583974,HCV,4l,67.0
PP584014,HCV,1e,100.0
PP584012,HCV,4l,39.0
PQ442793,HCV,4k,100.0
PQ442795,HCV,4k,100.0
PQ442796,HCV,4k,100.0
PQ442797,HCV,4k,100.0
PQ442824,HCV,4k,100.0
PQ442825,HCV,4k,100.0
PQ442827,HCV,4k,100.0
PQ442828,HCV,4k,100.0
PQ442829,HCV,4k,100.0
PQ442830,HCV,4v,87.0
PQ442845,HCV,4v,91.0
PQ442839,HCV,4k,100.0
PQ442843,HCV,4v,88.0
PQ442847,HCV,4v,100.0
PQ442817,HCV,4b,88.0
PQ442837,HCV,4k,100.0
PQ442881,HCV,4k,100.0
PQ442882,HCV,4k,100.0
PQ442858,HCV,4k,100.0
PQ442883,HCV,4k,100.0
PQ442899,HCV,4r,100.0
PQ442900,HCV,4r,100.0
PQ442909,HCV,4k,100.0
PQ442913,HCV,4k,100.0
PQ442929,HCV,4r,100.0
PQ442933,HCV,4v,100.0
PQ442930,HCV,4r,100.0
PQ442822,HCV,4k,100.0
MT897544,HCV,3a,100.0
MT897543,HCV,3a,100.0
MT897545,HCV,3a,100.0
MT897548,HCV,4a,100.0
MT897546,HCV,4a,100.0
MT897547,HCV,4d,100.0
MT897523,HCV,3a,100.0
MT897569,HCV,1b,100.0
MT897571,HCV,1b,100.0
MT897567,HCV,1b,100.0
MT897588,HCV,1b,100.0
MT897589,HCV,1b,100.0
MT897590,HCV,1b,100.0
MT897587,HCV,1b,100.0
MT897591,HCV,1b,100.0
MT897614,HCV,1b,100.0
MT897617,HCV,1b,100.0
MT897618,HCV,1b,100.0
MT897620,HCV,1b,100.0
MT897623,HCV,1b,100.0
MT897638,HCV,1b,100.0
MT897640,HCV,1b,100.0
MT897641,HCV,1b,100.0
MT897643,HCV,1b,100.0
MT897642,HCV,1b,100.0
MT897660,HCV,1b,100.0
MT897661,HCV,1b,100.0
MT897662,HCV,1b,100.0
MT897635,HCV,1b,100.0
MT897659,HCV,1b,100.0
MT897653,HCV,1b,100.0
MW205323,HCV,1g,100.0
MW205324,HCV,1g,100.0
MW205362,HCV,2j,75.0
MT897665,HCV,1b,100.0
MW205257,HCV,4c,100.0
MW205366,HCV,2j,99.0
MW205368,HCV,2k,93.0
MW205370,HCV,2q,41.0
MW205369,HCV,2j,33.0
MW205260,HCV,4n,100.0
MW205372,HCV,6e,100.0
MW205374,HCV,6t,81.0
MW205373,HCV,6e,100.0
MW205371,HCV,6e,100.0
MW205364,HCV,2j,87.0
MW205367,HCV,2j,61.0
MW205365,HCV,2j,68.0
MW205470,HCV,2j,100.0
MW234385,HCV,3a,100.0
MW205469,HCV,2b,65.0
MW234388,HCV,3a,100.0
MW234390,HCV,3a,100.0
MW205269,HCV,6a,100.0
MW205258,HCV,4c,99.0
MW205261,HCV,4o,100.0
MW205262,HCV,2c,100.0
MW205250,HCV,4r,100.0
MW205286,HCV,3b,100.0
MW205248,HCV,1c,100.0
MW205287,HCV,3b,100.0
MW205284,HCV,3b,100.0
MW205285,HCV,3b,100.0
MW205288,HCV,3k,100.0
