name,virus,subtype,bootstrap support
KX159109,HCV,1a,100.0
KY083764,HCV,2k,94.0
KX159080,HCV,1a,100.0
KX159083,HCV,1a,100.0
KX159082,HCV,1a,100.0
KX159081,HCV,1a,100.0
EU781752,HCV,1a,100.0
EU781753,HCV,1a,100.0
EU781754,HCV,1a,100.0
EU781750,HCV,1a,100.0
EU781759,HCV,1a,100.0
EU781756,HCV,1a,100.0
EU781758,HCV,1a,100.0
KU871311,HCV,6a,100.0
KU871309,HCV,1b,100.0
KU871306,HCV,1a,100.0
EF406134,HCV,1a,100.0
EF406135,HCV,1a,100.0
EF406173,HCV,3a,100.0
EF406172,HCV,3a,100.0
MN528429,HCV,1a,100.0
MN528439,HCV,1b,100.0
MN528438,HCV,1b,100.0
MN528440,HCV,1b,100.0
MN528437,HCV,1b,100.0
MN528441,HCV,1b,100.0
MN528436,HCV,1b,100.0
MN528443,HCV,1b,100.0
DQ164646,HCV,5a,100.0
DQ164645,HCV,5a,100.0
DQ164642,HCV,5a,100.0
DQ164647,HCV,5a,100.0
DQ164643,HCV,5a,100.0
DQ164644,HCV,5a,100.0
DQ164648,HCV,5a,100.0
MN528444,HCV,1b,100.0
DQ164649,HCV,5a,100.0
DQ164651,HCV,5a,100.0
DQ164660,HCV,5a,100.0
DQ164655,HCV,5a,100.0
DQ164658,HCV,5a,100.0
DQ164652,HCV,5a,100.0
DQ164659,HCV,5a,100.0
DQ164654,HCV,5a,100.0
DQ164664,HCV,5a,100.0
DQ164661,HCV,5a,100.0
DQ164665,HCV,5a,100.0
DQ164670,HCV,5a,100.0
DQ164671,HCV,5a,100.0
DQ164673,HCV,5a,100.0
DQ164667,HCV,5a,100.0
DQ164668,HCV,5a,100.0
DQ164672,HCV,5a,100.0
DQ164674,HCV,5a,100.0
DQ164676,HCV,5a,100.0
DQ164669,HCV,5a,100.0
DQ164679,HCV,5a,100.0
DQ164678,HCV,5a,100.0
DQ164684,HCV,5a,100.0
DQ164685,HCV,5a,100.0
DQ164686,HCV,5a,100.0
DQ164683,HCV,5a,100.0
DQ164677,HCV,5a,100.0
DQ164687,HCV,5a,100.0
DQ164682,HCV,5a,100.0
DQ164690,HCV,5a,100.0
DQ164692,HCV,5a,100.0
DQ164688,HCV,5a,100.0
DQ164693,HCV,5a,100.0
DQ164694,HCV,5a,100.0
DQ164696,HCV,5a,100.0
DQ164697,HCV,5a,100.0
DQ164699,HCV,5a,100.0
DQ164695,HCV,5a,100.0
DQ164703,HCV,5a,100.0
DQ164700,HCV,5a,100.0
DQ164705,HCV,5a,100.0
DQ164702,HCV,5a,100.0
DQ164704,HCV,5a,100.0
DQ164707,HCV,5a,100.0
DQ164709,HCV,5a,100.0
DQ164710,HCV,5a,100.0
DQ164706,HCV,5a,100.0
DQ164712,HCV,5a,100.0
DQ164711,HCV,5a,100.0
DQ164713,HCV,5a,100.0
DQ164718,HCV,5a,100.0
DQ164716,HCV,5a,100.0
DQ164719,HCV,5a,100.0
DQ164721,HCV,5a,100.0
DQ164715,HCV,5a,100.0
DQ164722,HCV,5a,100.0
DQ164725,HCV,5a,100.0
DQ164724,HCV,5a,100.0
DQ164730,HCV,5a,100.0
DQ164727,HCV,5a,100.0
DQ164726,HCV,5a,100.0
DQ164729,HCV,5a,100.0
DQ164732,HCV,5a,100.0
DQ164733,HCV,5a,100.0
DQ164728,HCV,5a,100.0
DQ164734,HCV,5a,100.0
DQ164737,HCV,5a,100.0
DQ164736,HCV,5a,100.0
DQ164743,HCV,5a,100.0
DQ164738,HCV,5a,100.0
DQ164741,HCV,5a,100.0
DQ164739,HCV,5a,100.0
DQ164744,HCV,5a,100.0
DQ164742,HCV,5a,100.0
DQ164740,HCV,5a,100.0
DQ164745,HCV,5a,100.0
KF524134,HCV,1a,100.0
KF524133,HCV,1b,100.0
DQ164747,HCV,5a,100.0
KF524137,HCV,1a,100.0
KF524135,HCV,1b,100.0
KF524138,HCV,1a,100.0
KF524139,HCV,1b,100.0
KF524136,HCV,1a,100.0
KF524144,HCV,1b,100.0
KF524145,HCV,1b,100.0
KF524142,HCV,1b,100.0
KF524141,HCV,1b,100.0
KF524148,HCV,1b,100.0
KF524147,HCV,1b,100.0
KF524146,HCV,1b,100.0
KF524143,HCV,1b,100.0
KF524151,HCV,1b,100.0
KF524154,HCV,1b,100.0
KF524155,HCV,1a,100.0
KF524150,HCV,1b,100.0
KF524157,HCV,1b,100.0
KF524156,HCV,1b,100.0
KF524152,HCV,1b,100.0
KF524153,HCV,1b,100.0
KF524161,HCV,1b,100.0
KF524163,HCV,1a,100.0
KF524164,HCV,1b,100.0
KF524162,HCV,1b,100.0
KF524158,HCV,1b,100.0
KF524167,HCV,1b,100.0
KF524160,HCV,1a,100.0
KF524165,HCV,1b,100.0
KF524168,HCV,1a,100.0
KF524169,HCV,1a,100.0
KF524173,HCV,1a,100.0
KF524170,HCV,1b,100.0
KF524174,HCV,1b,100.0
KF524177,HCV,1a,100.0
KF524172,HCV,1b,100.0
KF524171,HCV,1a,100.0
KF524175,HCV,1b,100.0
KF524180,HCV,1a,100.0
KF524178,HCV,1b,100.0
KF524181,HCV,1a,100.0
KF524183,HCV,1a,100.0
KF524184,HCV,1b,100.0
KF524187,HCV,1a,100.0
KF524186,HCV,1b,100.0
KF524182,HCV,1b,100.0
KF524185,HCV,1b,100.0
KF524191,HCV,1a,100.0
KF524195,HCV,1a,100.0
KF524194,HCV,1a,100.0
KF524198,HCV,1a,100.0
KF524196,HCV,1b,100.0
KF524190,HCV,1a,100.0
KF524197,HCV,1b,100.0
KF524193,HCV,1a,100.0
